scaffold,total,errors,corrects,fp,fn,error_rate,has_mixed
N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)cn[nH]3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(CSc3nccs3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(CSc3nnn[nH]3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[N+]34CCC(CC3)CC4)CSC12)c1ncsn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[NH+]3CCCC3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccc[nH]3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[n+]3cccc4c3CCC4)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[n+]3cccc4c3CCCC4)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccn4ncccc43)CSC12)c1ncsn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(Cn3ncnn3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=CCS(=O)C12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1ccco1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1csc(=N)[nH]1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1ncsn1,1,0,1,0,0,0.0,False
N=C(NCC(=O)NC(C(=O)NC1C(=O)N2CCSC12)c1ccccc1)c1ccncc1,1,0,1,0,0,0.0,False
N=C(c1ccccc1)c1ccccc1,1,0,1,0,0,0.0,False
N=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,1,0,1,0,0,0.0,False
O=C(C1CCN(c2cc(Oc3ccccc3)ncn2)CC1)N1Cc2ccccc2C1,1,0,1,0,0,0.0,False
O=C(C1CCN(c2ccnc3ccccc23)CC1)N1CCc2ccccc2C1,1,0,1,0,0,0.0,False
O=C(C=Cc1c[nH]c2ccccc12)Nc1ccccc1,1,0,1,0,0,0.0,False
O=C(C=Cc1cccc2c1C(C(=O)OCCc1ccccc1)C(c1ccccc1)O2)OCCc1ccccc1,1,0,1,0,0,0.0,False
O=C(C=Cc1ccccc1)c1ccccc1,1,0,1,0,0,0.0,False
O=C(CNc1nc(-c2ccncc2)cc(=O)[nH]1)c1ccccc1,1,0,1,0,0,0.0,False
O=C(COc1ccccc1)OCCNC12CC3CC(CC(C3)C1)C2,1,0,1,0,0,0.0,False
O=C(Cc1cccc(Oc2ccccc2)c1)N1CCNc2ncccc2C1,1,0,1,0,0,0.0,False
O=C(Cc1cccc(Oc2cccnc2)c1)N1CCNc2ncccc2C1,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)N1CCNc2ncccc2C1,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)NC1C(=O)N2C=C(CSc3c[nH]nn3)CSC12,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)NC1[CH]CCCC1,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)OC1CC2NC(C1)C1OC21,1,0,1,0,0,0.0,False
O=C(Cc1ccccc1)OC1CC2[NH2+]C(C1)C1OC21,1,0,1,0,0,0.0,False
O=C(Cc1ccsc1)NC1C(=O)N2CCSC12,1,0,1,0,0,0.0,False
O=C(N=c1c[n+](CCc2ccccc2)[n-]o1)Nc1ccccc1,1,0,1,0,0,0.0,False
O=C(NC(C(=O)NC1C(=O)N2C=C(CSc3nnn[nH]3)CSC12)c1ccccc1)c1cccnc1,1,0,1,0,0,0.0,False
O=C(NC(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1ccccc1)c1c[nH]cn1,1,0,1,0,0,0.0,False
O=C(NC(C(=O)NC1C(=O)N2CCSC12)c1ccccc1)c1cnc2cccnc2c1,1,0,1,0,0,0.0,False
O=C(NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)C(=NOC1CCNC1=O)c1cncs1,1,0,1,0,0,0.0,False
O=C(NC1C(=O)N2CCSC12)C(N=Cc1ccco1)c1ccccc1,1,0,1,0,0,0.0,False
O=C(NC1CC2CCC(C1)N2)N1CCc2ccccc21,1,0,1,0,0,0.0,False
O=C(NC1CC2CCC(C1)N2)c1cn(C2CCCCC2)c2ccccc2c1=O,1,0,1,0,0,0.0,False
O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12,1,0,1,0,0,0.0,False
O=C(NC1CCC(CCN2CCc3ccccc3C2)CC1)c1ccnc2ccccc12,1,0,1,0,0,0.0,False
O=C(NC1CCN(CCCOc2ccccc2)CC1)c1ccccc1,1,0,1,0,0,0.0,False
O=C(NC1CN(C(=O)c2ccncc2)C1)c1cc2ccnnc2s1,1,0,1,0,0,0.0,False
O=C(NC1CN(c2ccncn2)C1)c1cc2ccnnc2s1,1,0,1,0,0,0.0,False
O=C(NC1CN(c2cnccn2)C1)c1cc2ccnnc2s1,1,0,1,0,0,0.0,False
O=C(NC1CN(c2cncnc2)C1)c1cc2ccnnc2s1,1,0,1,0,0,0.0,False
O=C(NC1CN(c2nc3cccnc3s2)C1)c1cc2ccnnc2s1,1,0,1,0,0,0.0,False
O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,1,0,1,0,0,0.0,False
O=C(NCCc1ccccc1)C12CC3CC(CC(C3)C1)C2,1,0,1,0,0,0.0,False
O=C(NCN1CCCC1)C1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O,1,0,1,0,0,0.0,False
O=C(NCN1CCCCC1)C1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O,1,0,1,0,0,0.0,False
O=C(NCNC(C(=O)NC1C(=O)N2CCSC12)c1ccccc1)C1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O,1,0,1,0,0,0.0,False
O=C(NCNCCNCNC(=O)C1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O)C1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O,1,0,1,0,0,0.0,False
O=C(NCc1ccc(S(=O)(=O)C2CC2)cc1)c1cc2ccnnc2s1,1,0,1,0,0,0.0,False
O=C(NCc1ccccc1)C1CCN(S(=O)(=O)c2ccc3[nH]ncc3c2)CC1,1,0,1,0,0,0.0,False
O=C(NCc1ccccc1)C1CCN(c2ccnc3ccccc23)CC1,1,0,1,0,0,0.0,False
O=C(NN=CC1Cc2cc3c(cc2C(OC2CCCCO2)C1)C(=O)c1ccccc1C3=O)c1ccccc1,1,0,1,0,0,0.0,False
O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)c1ccccn1,1,0,1,0,0,0.0,False
O=C(Nc1cccc(S(=O)(=O)C2CCC2)c1)NC1C=CCC1,1,0,1,0,0,0.0,False
O=C(Nc1cccc(S(=O)(=O)CC2CCOC2)c1)NC1C=CCC1,1,0,1,0,0,0.0,False
O=C(Nc1cnc(Nc2ccccc2)nc1)NC(C(=O)NC1C(=O)N2CCSC12)c1ccccc1,1,0,1,0,0,0.0,False
O=C(Nc1ncco1)C1c2ccccc2Oc2ccccc21,1,0,1,0,0,0.0,False
O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,1,0,1,0,0,0.0,False
O=C(OC1CCNCC1)C(c1ccccc1)c1ccccc1,1,0,1,0,0,0.0,False
O=C(c1ccccc1)N1CCc2nc(COc3ccccc3)oc2C1,1,0,1,0,0,0.0,False
O=C(c1n[nH]c2ncccc12)N1CCc2nc(COc3ccccc3)oc2C1,1,0,1,0,0,0.0,False
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,1,0,1,0,0,0.0,False
O=C1C(NC(=O)C23CC4CC(CC(C4)C2)C3)C2SCCN12,1,0,1,0,0,0.0,False
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,1,0,1,0,0,0.0,False
O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4c(c3C2=O)C2=NC3(CCNCC3)NC2=C(N1)C4=O,1,0,1,0,0,0.0,False
O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(c(C=NN5CCN(C6CCCC6)CC5)cc4c3C2=O)N1,1,0,1,0,0,0.0,False
O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,1,0,1,0,0,0.0,False
O=C1C=CCC2C3CCCN4CCCC(CN12)C34,1,0,1,0,0,0.0,False
O=C1C=CCC2C3CCC[NH+]4CCCC(CN12)C34,1,0,1,0,0,0.0,False
O=C1C=CCC2Cc3cc4ccccc4cc3C(=O)C12,1,0,1,0,0,0.0,False
O=C1C=NNc2ccccc2N1Cc1ccccc1,1,0,1,0,0,0.0,False
O=C1CC(c2c[nH]c3ccccc23)C(=O)N1,1,0,1,0,0,0.0,False
O=C1CC2CC(SC3Cn4cnc[n+]4C3)=CN12,1,0,1,0,0,0.0,False
O=C1CC2SC(SC3CCS(=O)C3)=CN12,1,0,1,0,0,0.0,False
O=C1CC2SCC(CSc3nnn[nH]3)=CN12,1,0,1,0,0,0.0,False
O=C1CC=NC=N1,1,0,1,0,0,0.0,False
O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5,1,0,1,0,0,0.0,False
O=C1CCCC2C3CCC[NH+]4CCCC(CN12)C34,1,0,1,0,0,0.0,False
O=C1CN(C(=O)NCc2ccccc2)c2ncccc2N1,1,0,1,0,0,0.0,False
O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C(=O)N1CCCCN1CCNCC1,1,0,1,0,0,0.0,False
O=C1Cc2ccccc2CCN1CCCNCCc1ccccc1,1,0,1,0,0,0.0,False
O=C1N(Cc2ccc(-c3cccc4n[nH]cc34)cc2)C=CC2=NCCN12,1,0,1,0,0,0.0,False
O=C1N=CNC(=O)C1C1=CCCCC1,1,0,1,0,0,0.0,False
O=C1NC(=O)C(c2ccccc2)C(=O)N1,1,0,1,0,0,0.0,False
O=C1NCCN(C(=O)NC(C(=O)NC2C(=O)N3CCSC23)c2ccccc2)C1=O,1,0,1,0,0,0.0,False
O=C1Nc2ccccc2OCC1N1CCc2cn(Cc3ccccc3)nc2C1=O,1,0,1,0,0,0.0,False
O=C1OCCN1c1ccc(N2CCOCC2)cc1,1,0,1,0,0,0.0,False
O=C1c2cccnc2CCN1Cc1ccc(-c2cccc3n[nH]cc23)cc1,1,0,1,0,0,0.0,False
O=C1c2cccnc2CN1Cc1ccc(-c2cn[nH]c2)cc1,1,0,1,0,0,0.0,False
O=C1c2ccnn2CCN1Cc1ccc(-c2ccc3n[nH]cc3c2)cc1,1,0,1,0,0,0.0,False
O=c1[nH]c(-c2cccc(CC3CCC3)c2)nc2cn[nH]c12,1,0,1,0,0,0.0,False
O=c1[nH]c(-c2cccc(OC3CCN(c4ncccn4)CC3)c2)nc2cn[nH]c12,1,0,1,0,0,0.0,False
O=c1[nH]c(=O)n(-c2ccccc2)c2c1CN=C(c1ccccc1)N2,1,0,1,0,0,0.0,False
O=c1[nH]c2c(c(=O)[nH]1)CNC(c1ccccc1)=N2,1,0,1,0,0,0.0,False
O=c1[nH]cnn1CCCN1C2CCC1CC(OCc1ccccc1)C2,1,0,1,0,0,0.0,False
O=c1c2ccccc2ncn1Cc1ccc(-c2cccc3n[nH]cc23)cc1,1,0,1,0,0,0.0,False
O=c1c2ccncc2ncn1Cc1ccc(-c2ccc3cnccc3c2)cc1,1,0,1,0,0,0.0,False
O=c1c2ccncc2ncn1Cc1ccc(-c2cccc3n[nH]cc23)cc1,1,0,1,0,0,0.0,False
O=c1cc(NCCCN2CCN(c3ccccc3)CC2)[nH]c(=O)[nH]1,1,0,1,0,0,0.0,False
O=c1ccn(-c2ccccc2)c2nc(N3CC4CC4C3)ccc12,1,0,1,0,0,0.0,False
O=c1cnc2ccccc2n1Cc1ccc(-c2cccc3n[nH]cc23)cc1,1,0,1,0,0,0.0,False
c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,1,0,1,0,0,0.0,False
c1cc(-n2ccnc2)ncn1,1,0,1,0,0,0.0,False
c1cc(N2CCCCC2)nc[nH+]1,1,0,1,0,0,0.0,False
c1cc(OC2CCCC2)cc(C2CCCCC2)c1,1,0,1,0,0,0.0,False
c1ccc(-c2[nH+]ccc3ccccc23)cc1,1,0,1,0,0,0.0,False
c1ccc(-c2c[nH]c3ccccc23)cc1,1,0,1,0,0,0.0,False
c1ccc(-c2cscn2)cc1,1,0,1,0,0,0.0,False
c1ccc(-n2ncc3cnc(-c4ccc(C5CC5)cc4)cc32)nc1,1,0,1,0,0,0.0,False
c1ccc(C(c2ccccc2)N2CCN(c3ncncn3)CC2)cc1,1,0,1,0,0,0.0,False
c1ccc(C2CCCC2)cc1,1,0,1,0,0,0.0,False
c1ccc(CC2CN=C(NCCSCc3ccccn3)C2)cc1,1,0,1,0,0,0.0,False
c1ccc(CCC2CCCN(Cc3ccccc3)C2)cc1,1,0,1,0,0,0.0,False
c1ccc(CCCCNc2ncc(Cc3cccnc3)cn2)nc1,1,0,1,0,0,0.0,False
c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,1,0,1,0,0,0.0,False
c1ccc(NCC2CNc3ncncc3N2)cc1,1,0,1,0,0,0.0,False
c1ccc(OCC2CN(Cc3c[nH]c4ccccc34)CCO2)cc1,1,0,1,0,0,0.0,False
c1ccc(OCC2CN(Cc3ccc4[nH]ncc4c3)CCO2)cc1,1,0,1,0,0,0.0,False
c1ccc2c(c1)CC1NCCc3cccc-2c31,1,0,1,0,0,0.0,False
c1ccc2c(c1)OCCO2,1,0,1,0,0,0.0,False
c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2,1,0,1,0,0,0.0,False
c1ccc2ncccc2c1,1,0,1,0,0,0.0,False
c1ccn2nc3c(NC4CCCCC4)ncnc3c2c1,1,0,1,0,0,0.0,False
c1ccoc1,1,0,1,0,0,0.0,False
c1cnc2c(c1)C1(CCN(CC3CCNCC3)CC1)CN2,1,0,1,0,0,0.0,False
c1cnc2ncnn2c1,1,0,1,0,0,0.0,False
c1cncc(OC2CCN(c3ncnn4cccc34)CC2)c1,1,0,1,0,0,0.0,False
c1coc(CSCCNc2ncc(Cc3ccc4ccccc4c3)cn2)c1,1,0,1,0,0,0.0,False
c1nc(N2CCC(Oc3ccc4c(c3)CCO4)CC2)c2ccsc2n1,1,0,1,0,0,0.0,False
c1ncc(OC2CCN(c3ncnc4sccc34)CC2)cn1,1,0,1,0,0,0.0,False
